text,left_pixels,top_pixels,width_pixels,height_pixels,page
Case ,223,144,94,41,0
3,316,144,23,39,0
:,330,144,13,39,0
23,345,144,41,39,0
-,384,144,14,39,0
mj,395,143,33,39,0
-,425,143,17,39,0
02081,440,141,97,41,0
-,536,142,11,39,0
WVG ,545,140,81,41,0
Document ,656,138,156,42,0
1 ,820,138,21,39,0
Filed ,867,136,70,41,0
06/08/23 ,946,134,135,42,0
PagelD.1 ,1110,132,139,42,0
Page ,1278,131,78,41,0
1 ,1366,132,19,39,0
of ,1396,131,32,39,0
"27
",1434,131,40,39,0
ΑΟ ,96,187,34,27,0
106A ,136,186,52,27,0
(,197,187,9,25,0
08/18,204,185,54,27,0
) ,258,186,7,25,0
Application ,276,183,108,28,0
for ,390,183,25,26,0
a ,420,183,11,25,0
Warrant ,436,181,74,27,0
by ,515,181,23,26,0
Telephone ,542,179,96,28,0
or ,644,179,20,25,0
Other ,667,178,53,27,0
Reliable ,726,177,75,27,0
Electronic ,806,174,92,28,0
"Means
",899,174,66,27,0
UNITED ,476,243,175,45,0
STATES ,665,240,171,45,0
DISTRICT ,845,236,210,46,0
"COURT
",1069,233,158,45,0
for ,813,310,42,26,0
"the
",852,310,43,25,0
Southern ,657,357,112,30,0
District ,776,355,96,29,0
of ,878,354,31,28,0
"California
",910,351,128,31,0
In ,245,447,28,27,0
the ,277,445,41,28,0
Matter ,323,445,85,28,0
of ,415,443,30,28,0
the ,449,443,38,27,0
Search ,495,442,84,28,0
"of
",587,440,30,28,0
(,196,490,22,29,0
Briefly ,203,488,79,31,0
describe ,283,486,92,31,0
the ,378,485,33,29,0
property ,413,483,93,31,0
to ,509,482,23,29,0
be ,534,481,28,29,0
"searched
",565,479,97,31,0
or ,205,513,30,31,0
identify ,236,511,82,32,0
the ,321,510,34,31,0
person ,356,508,74,32,0
by ,433,508,29,30,0
name ,463,507,58,30,0
and ,524,505,44,31,0
address,569,503,83,32,0
")
",645,504,15,29,0
Apple ,383,557,82,32,0
"Inc.
",472,556,40,31,0
1 ,109,597,12,31,0
Apple ,127,594,76,33,0
Park ,211,593,60,33,0
Way,276,592,61,32,0
", ",335,592,7,31,0
Cupertino,349,588,124,35,0
", ",472,589,7,31,0
CA. ,486,587,48,33,0
Host,541,586,62,33,0
: ,597,586,11,31,0
303-520-7458,614,582,182,35,0
",
",793,582,9,31,0
intoiFtVtLdClg@gmail.com ,158,620,333,41,0
(,499,620,11,33,0
"""",509,620,10,33,0
Target ,518,618,83,35,0
Account,606,616,104,35,0
"""",712,616,8,33,0
")
",720,616,10,33,0
"SEALED
",1128,387,226,49,0
'23 ,1139,474,55,32,0
"MJ2081
",1202,472,114,33,0
Case ,978,502,63,25,0
"No.
",1045,501,48,25,0
APPLICATION ,151,679,218,31,0
FOR ,378,678,62,28,0
A ,449,678,22,26,0
WARRANT ,479,674,163,30,0
BY ,652,673,42,27,0
TELEPHONE ,702,669,192,31,0
OR ,904,668,44,28,0
OTHER ,958,666,109,29,0
RELIABLE ,1076,663,158,30,0
ELECTRONIC ,1245,659,208,31,0
"MEANS
",1462,657,112,29,0
I,211,738,13,33,0
", ",222,737,8,33,0
a ,237,737,18,33,0
federal ,261,734,86,36,0
law ,355,733,46,35,0
enforcement ,406,730,156,37,0
officer ,568,728,85,36,0
or ,660,729,26,33,0
an ,694,727,29,34,0
attorney ,730,725,104,36,0
for ,842,724,36,34,0
the ,885,723,37,35,0
government,929,720,149,37,0
", ",1078,721,7,33,0
request ,1093,718,91,36,0
a ,1190,719,15,33,0
search ,1211,716,80,36,0
warrant ,1298,714,98,36,0
and ,1403,713,46,35,0
state ,1455,712,60,35,0
"under
",1521,711,74,35,0
penalty ,107,768,98,38,0
of ,207,767,35,36,0
perjury ,241,765,96,38,0
that ,342,764,48,37,0
I ,396,764,11,35,0
have ,414,763,60,36,0
reason ,480,760,84,38,0
to ,568,759,27,37,0
believe ,600,758,93,37,0
that ,698,757,50,36,0
on ,755,755,33,37,0
the ,793,755,39,36,0
following ,840,752,120,38,0
"person 
",966,750,84,38,0
or ,1057,749,28,36,0
property ,1090,747,109,38,0
