text,text_start_idx,text_end_idx,line_idx,conf,left,top,width,height,left_pixels,top_pixels,width_pixels,height_pixels,page
Case ,0,5,0,0.9749719500541687,0.19023282825946808,0.017173051834106445,0.042589426040649414,0.01453104242682457,335,39,75,33,0
2,5,6,0,0.9788945913314819,0.2407722920179367,0.017173051834106445,0.009085744619369507,0.014090709388256073,424,39,16,32,0
:,6,7,0,0.9790048003196716,0.252129465341568,0.017173051834106445,0.0017035901546478271,0.014090709388256073,444,39,3,32,0
23,7,9,0,0.9520590305328369,0.2572402060031891,0.017173051834106445,0.01987507939338684,0.014090709388256073,453,39,35,32,0
-,9,10,0,0.960014820098877,0.27881884574890137,0.017173051834106445,0.004542887210845947,0.014090709388256073,491,39,8,32,0
mj,10,12,0,0.96303790807724,0.28620103001594543,0.017173051834106445,0.017603635787963867,0.014090709388256073,504,39,31,32,0
-,12,13,0,0.9859714508056641,0.30550822615623474,0.017173051834106445,0.005110740661621094,0.014090709388256073,538,39,9,32,0
00003,13,18,0,0.9970555901527405,0.3128904104232788,0.017173051834106445,0.05337876081466675,0.014090709388256073,551,39,94,32,0
-,18,19,0,0.9903465509414673,0.3668370246887207,0.017173051834106445,0.005110740661621094,0.014090709388256073,646,39,9,32,0
BWC ,19,23,0,0.9835355877876282,0.3742191791534424,0.017173051834106445,0.043725162744522095,0.014090709388256073,659,39,77,32,0
Document ,23,32,0,0.9963133931159973,0.43725156784057617,0.017173051834106445,0.08745032548904419,0.014090709388256073,770,39,154,32,0
12 ,32,35,0,0.9800869822502136,0.532084047794342,0.017173051834106445,0.019307196140289307,0.014090709388256073,937,39,34,32,0
Filed ,35,41,0,0.9834708571434021,0.5706984400749207,0.017173051834106445,0.039182305335998535,0.014090709388256073,1005,39,69,32,0
03/27/23 ,41,50,0,0.9856932163238525,0.617830753326416,0.017173051834106445,0.07438957691192627,0.014090709388256073,1088,39,131,32,0
Page ,50,55,0,0.9927980899810791,0.7115275263786316,0.017173051834106445,0.04202157258987427,0.014090709388256073,1253,39,74,32,0
1 ,55,57,0,0.9876221418380737,0.7626348733901978,0.017173051834106445,0.007950007915496826,0.014090709388256073,1343,39,14,32,0
of ,57,60,0,0.990447998046875,0.7785349488258362,0.017173051834106445,0.015332162380218506,0.014090709388256073,1371,39,27,32,0
"4
",60,62,0,0.9858860373497009,0.8001135587692261,0.017173051834106445,0.009085774421691895,0.014090709388256073,1409,39,16,32,0
Case ,62,67,1,0.962963342666626,0.1555934101343155,0.03786877915263176,0.04826803505420685,0.014971379190683365,274,86,85,34,0
2,67,68,1,0.9732835292816162,0.20556502044200897,0.03786877915263176,0.01135718822479248,0.014531046152114868,362,86,20,33,0
:,68,69,1,0.9766787886619568,0.2174900621175766,0.03786877915263176,0.0022714436054229736,0.014531046152114868,383,86,4,33,0
23,69,71,1,0.9571830630302429,0.22089721262454987,0.03786877915263176,0.021578654646873474,0.014531046152114868,389,86,38,33,0
-,71,72,1,0.9681848883628845,0.23850084841251373,0.03786877915263176,0.009653612971305847,0.014531046152114868,420,86,17,33,0
mj,72,74,1,0.968472957611084,0.24929018318653107,0.03786877915263176,0.017603620886802673,0.014531046152114868,439,86,31,33,0
-,74,75,1,0.9763035178184509,0.2640545070171356,0.03786877915263176,0.010221481323242188,0.014531046152114868,465,86,18,33,0
00003,75,80,1,0.9759959578514099,0.27484384179115295,0.03786877915263176,0.051107317209243774,0.014531046152114868,484,86,90,33,0
-,80,81,1,0.9590047597885132,0.3270868957042694,0.03786877915263176,0.005110710859298706,0.014531046152114868,576,86,9,33,0
BWC ,81,85,1,0.9676045775413513,0.33390119671821594,0.03786877915263176,0.04202157258987427,0.014531046152114868,588,86,74,33,0
*,85,86,1,0.9338500499725342,0.38273707032203674,0.03786877915263176,0.006246447563171387,0.014531046152114868,674,86,11,33,0
SEALED,86,92,1,0.9756449460983276,0.39068710803985596,0.03786877915263176,0.07155025005340576,0.014531046152114868,688,86,126,33,0
* ,92,94,1,0.8591383695602417,0.4633730947971344,0.03786877915263176,0.006814301013946533,0.014531046152114868,816,86,12,33,0
Document ,94,103,1,0.9903537034988403,0.48835888504981995,0.03786877915263176,0.08347532153129578,0.014531046152114868,860,86,147,33,0
11 ,103,106,1,0.9793570637702942,0.577512800693512,0.03786877915263176,0.019875049591064453,0.014531046152114868,1017,86,35,33,0
Filed ,106,112,1,0.9806843996047974,0.61385577917099,0.03786877915263176,0.03918224573135376,0.014531046152114868,1081,86,69,33,0
03/24/23 ,112,121,1,0.9811117649078369,0.6592844724655151,0.03786877915263176,0.07325387001037598,0.014531046152114868,1161,86,129,33,0
Page ,121,126,1,0.9860334396362305,0.7495741248130798,0.03786877915263176,0.042589426040649414,0.014531046152114868,1320,86,75,33,0
1 ,126,128,1,0.9836137294769287,0.7978421449661255,0.03786877915263176,0.010221481323242188,0.014531046152114868,1405,86,18,33,0
of ,128,131,1,0.9894422292709351,0.8137422204017639,0.03786877915263176,0.015900015830993652,0.014531046152114868,1433,86,28,33,0
"4
",131,133,1,0.9894168972969055,0.8336172699928284,0.03786877915263176,0.01135718822479248,0.014531046152114868,1468,86,20,33,0
AO ,133,136,2,0.7804879546165466,0.05224304273724556,0.07573755830526352,0.019875075668096542,0.010127700865268707,92,172,35,23,0
93C ,136,140,2,0.9288589954376221,0.07438955456018448,0.07573755830526352,0.022714361548423767,0.010127700865268707,131,172,40,23,0
(,140,141,2,0.9732315540313721,0.10107893496751785,0.07573755830526352,0.005678586661815643,0.010127700865268707,178,172,10,23,0
08/18,141,146,2,0.9871697425842285,0.10618966817855835,0.07573755830526352,0.02782510221004486,0.010127700865268707,187,172,49,23,0
) ,146,148,2,0.9830107688903809,0.1351504772901535,0.07573755830526352,0.0034071654081344604,0.010127700865268707,238,172,6,23,0
Warrant ,148,156,2,0.9912825226783752,0.14480409026145935,0.07573755830526352,0.04202157258987427,0.010127700865268707,255,172,74,23,0
by ,156,159,2,0.9897406101226807,0.1890971064567566,0.07573755830526352,0.013060763478279114,0.010127700865268707,333,172,23,23,0
Telephone ,159,169,2,0.9885258674621582,0.20499716699123383,0.07573755830526352,0.05281089246273041,0.010127700865268707,361,172,93,23,0
or ,169,172,2,0.9769224524497986,0.2612152099609375,0.07573755830526352,0.010221481323242188,0.010127700865268707,460,172,18,23,0
Other ,172,178,2,0.9888879656791687,0.27484384179115295,0.07573755830526352,0.028960824012756348,0.010127700865268707,484,172,51,23,0
Reliable ,178,187,2,0.9918125867843628,0.30721181631088257,0.07573755830526352,0.040885865688323975,0.010127700865268707,541,172,72,23,0
Electronic ,187,198,2,0.9930725693702698,0.35093697905540466,0.07573755830526352,0.05167517066001892,0.010127700865268707,618,172,91,23,0
"Means
",198,204,2,0.983410656452179,0.4037478566169739,0.07573755830526352,0.035207271575927734,0.010127700865268707,711,172,62,23,0
"Original
",204,213,3,0.9922899603843689,0.5780806541442871,0.06869220733642578,0.06019306182861328,0.014090709388256073,1018,156,106,32,0
UNITED ,213,220,4,0.9649968147277832,0.29301533102989197,0.10788199305534363,0.09540033340454102,0.018494054675102234,516,245,168,42,0
STATES ,220,227,4,0.991089940071106,0.39693355560302734,0.10788199305534363,0.09312891960144043,0.018053725361824036,699,245,164,41,0
DISTRICT ,227,236,4,0.983370304107666,0.495741069316864,0.10788199305534363,0.11811470985412598,0.018053725361824036,873,245,208,41,0
"COURT
",236,242,4,0.9815117120742798,0.6206700801849365,0.10788199305534363,0.08745032548904419,0.018053725361824036,1093,245,154,41,0
In ,242,245,5,0.9806250929832458,0.15161839127540588,0.16952884197235107,0.014764338731765747,0.0110083669424057,267,385,26,25,0
the ,245,249,5,0.983397364616394,0.16808632016181946,0.16952884197235107,0.022714361548423767,0.010568037629127502,296,385,40,24,0
Matter ,249,256,5,0.983851432800293,0.1942078322172165,0.16952884197235107,0.046564459800720215,0.010568037629127502,342,385,82,24,0
of ,256,259,5,0.9815409779548645,0.24531516432762146,0.16952884197235107,0.016467899084091187,0.010568037629127502,432,385,29,24,0
the ,259,263,5,0.9829252362251282,0.2634866535663605,0.16952884197235107,0.021010786294937134,0.010568037629127502,464,385,37,24,0
Search ,263,270,5,0.9856095910072327,0.28904032707214355,0.16952884197235107,0.04656442999839783,0.010568037629127502,509,385,82,24,0
"of
",270,273,5,0.9892040491104126,0.3407154977321625,0.16952884197235107,0.016467928886413574,0.010568037629127502,600,385,29,24,0
(,273,274,6,0.9715210795402527,0.12379329651594162,0.1875825673341751,0.010789327323436737,0.011889025568962097,218,426,19,27,0
Briefly ,274,282,6,0.9895318150520325,0.12776830792427063,0.18714222311973572,0.04202158749103546,0.011889040470123291,225,425,74,27,0
describe ,282,291,6,0.9916123747825623,0.17092561721801758,0.18714222311973572,0.04997159540653229,0.011889040470123291,301,425,88,27,0
the ,291,295,6,0.9886912703514099,0.22430437803268433,0.18714222311973572,0.017035767436027527,0.011889040470123291,395,425,30,27,0
property ,295,304,6,0.9899558424949646,0.24361158907413483,0.18714222311973572,0.050539448857307434,0.011889040470123291,429,425,89,27,0
to ,304,307,6,0.9947462677955627,0.2969903349876404,0.18714222311973572,0.011925041675567627,0.011889040470123291,523,425,21,27,0
be ,307,310,6,0.9926794767379761,0.311186820268631,0.18714222311973572,0.013628631830215454,0.011889040470123291,548,425,24,27,0
"searched
",310,319,6,0.9892513751983643,0.3282226026058197,0.18714222311973572,0.05337876081466675,0.011889040470123291,578,425,94,27,0
or ,319,322,7,0.9866619110107422,0.12833617627620697,0.1999119371175766,0.015332192182540894,0.011889025568962097,226,454,27,27,0
identify ,322,331,7,0.9938967227935791,0.14480409026145935,0.1999119371175766,0.04542873799800873,0.011448696255683899,255,454,80,26,0
the ,331,335,7,0.9892652034759521,0.19136853516101837,0.1999119371175766,0.018739357590675354,0.011448696255683899,337,454,33,26,0
person ,335,342,7,0.9946632981300354,0.21067574620246887,0.1999119371175766,0.04145371913909912,0.011448696255683899,371,454,73,26,0
by ,342,345,7,0.9929003119468689,0.25440090894699097,0.1999119371175766,0.014764338731765747,0.011448696255683899,448,454,26,26,0
name ,345,350,7,0.9944232106208801,0.2714366912841797,0.1999119371175766,0.031232237815856934,0.011448696255683899,478,454,55,26,0
and ,350,354,7,0.9898476004600525,0.3049403727054596,0.1999119371175766,0.023850083351135254,0.011448696255683899,537,454,42,26,0
address,354,361,7,0.9862952828407288,0.32992619276046753,0.1999119371175766,0.04486086964607239,0.011448696255683899,581,454,79,26,0
")
",361,363,7,0.9825183749198914,0.37251561880111694,0.1999119371175766,0.00738215446472168,0.011448696255683899,656,454,13,26,0
for ,363,367,8,0.9866330623626709,0.47700169682502747,0.13914574682712555,0.024985820055007935,0.010127708315849304,840,316,44,23,0
"the
",367,371,8,0.9903765916824341,0.4991482198238373,0.13914574682712555,0.02555367350578308,0.010127708315849304,879,316,45,23,0
Southern ,371,380,9,0.9838069677352905,0.3992049992084503,0.15896080434322357,0.06132879853248596,0.012769713997840881,703,361,108,29,0
District ,380,389,9,0.9887260794639587,0.4645088016986847,0.15896080434322357,0.052810877561569214,0.012769713997840881,818,361,93,29,0
of ,389,392,9,0.9890607595443726,0.5212947130203247,0.15896080434322357,0.016467928886413574,0.012769713997840881,918,361,29,29,0
"Georgia
",392,400,9,0.99138343334198,0.5377626419067383,0.15896080434322357,0.05848950147628784,0.012769713997840881,947,361,103,29,0
Duplicate ,400,410,10,0.9929434657096863,0.7427598237991333,0.06869220733642578,0.06757521629333496,0.014090709388256073,1308,156,119,32,0
"Original
",410,419,10,0.9933311939239502,0.8148779273033142,0.06869220733642578,0.05735373497009277,0.014090709388256073,1435,156,101,32,0
")
",419,421,11,0.9458036422729492,0.49460533261299133,0.19374725222587585,0.010789304971694946,0.01232936978340149,871,440,19,28,0
")
",421,423,12,0.9433181881904602,0.4940374791622162,0.2095993012189865,0.010789304971694946,0.011889025568962097,870,476,19,27,0
IN ,423,426,13,0.9809598922729492,0.09710391610860825,0.21840599179267883,0.017035774886608124,0.01232936978340149,171,496,30,28,0
THE ,426,430,13,0.9813655018806458,0.11925042420625687,0.21840599179267883,0.03747870773077011,0.011889025568962097,210,496,66,27,0
MATTER ,430,437,13,0.9885510802268982,0.16183985769748688,0.21840599179267883,0.0772288590669632,0.011889025568962097,285,496,136,27,0
OF ,437,440,13,0.9791280031204224,0.24531516432762146,0.21840599179267883,0.024985790252685547,0.011889025568962097,432,496,44,27,0
THE ,440,444,13,0.9824953079223633,0.27597954869270325,0.21840599179267883,0.036343008279800415,0.011889025568962097,486,496,64,27,0
SEARCH ,444,451,13,0.9838322997093201,0.3191368579864502,0.21840599179267883,0.07666099071502686,0.011889025568962097,562,496,135,27,0
"OF
",451,454,13,0.9790323376655579,0.40204429626464844,0.21840599179267883,0.024985790252685547,0.011889025568962097,708,496,44,27,0
Information ,454,466,14,0.9906629920005798,0.10789324343204498,0.2351386994123459,0.09085746109485626,0.015411719679832458,190,534,160,35,0
associated ,466,477,14,0.9814849495887756,0.20556502044200897,0.2351386994123459,0.08915390074253082,0.01497139036655426,362,534,157,34,0
with ,477,482,14,0.9886514544487,0.30039751529693604,0.2351386994123459,0.03180009126663208,0.01497139036655426,529,534,56,34,0
the ,482,486,14,0.9961324334144592,0.3384440541267395,0.2351386994123459,0.026121526956558228,0.01497139036655426,596,534,46,34,0
"Mega
",486,491,14,0.9898363351821899,0.36854061484336853,0.2351386994123459,0.048268020153045654,0.01497139036655426,649,534,85,34,0
account ,491,499,15,0.9839165210723877,0.09767177700996399,0.2518714368343353,0.06587167084217072,0.013650357723236084,172,572,116,31,0
associated ,499,510,15,0.9822933077812195,0.1686541736125946,0.2518714368343353,0.08972173929214478,0.013210028409957886,297,572,158,30,0
with ,510,515,15,0.9825927019119263,0.2634866535663605,0.2518714368343353,0.03293582797050476,0.013210028409957886,464,572,58,30,0
e,515,516,15,0.9722670316696167,0.3021010756492615,0.2518714368343353,0.010789334774017334,0.013210028409957886,532,572,19,30,0
