text,left_pixels,top_pixels,width_pixels,height_pixels,page
Case ,248,38,78,34,0
3,337,38,17,33,0
:,359,38,3,33,0
23,365,38,38,33,0
-,404,38,8,33,0
mj,417,38,31,33,0
-,453,38,8,33,0
02081,463,38,94,33,0
-,559,38,8,33,0
WVG ,572,38,77,33,0
Document ,683,38,156,33,0
1 ,850,38,14,33,0
Filed ,898,38,69,33,0
06/08/23 ,981,38,131,33,0
PageID.1 ,1145,38,138,33,0
Page ,1317,38,76,33,0
1 ,1408,38,13,33,0
of ,1435,38,26,33,0
"27
",1474,38,34,33,0
AO ,114,73,31,23,0
106A ,154,73,50,23,0
(,215,73,7,23,0
08/18,223,73,50,23,0
) ,273,73,8,23,0
Application ,294,73,108,23,0
for ,408,73,26,23,0
a ,441,73,9,23,0
Warrant ,456,73,76,23,0
by ,536,73,24,23,0
Telephone ,565,73,97,23,0
or ,669,73,18,23,0
Other ,694,73,51,23,0
Reliable ,751,73,75,23,0
Electronic ,834,73,92,23,0
"Means
",934,73,60,23,0
UNITED ,498,138,174,42,0
STATES ,689,138,170,41,0
DISTRICT ,871,138,213,41,0
"COURT
",1100,138,159,41,0
for ,837,211,46,22,0
"the
",879,211,43,22,0
Southern ,679,255,110,26,0
District ,799,255,94,25,0
of ,902,255,29,25,0
"California
",936,255,127,25,0
In ,256,338,28,24,0
the ,291,338,37,24,0
Matter ,336,338,86,24,0
of ,431,338,27,24,0
the ,463,338,38,24,0
Search ,510,338,85,24,0
"of
",605,338,28,24,0
(,210,379,22,25,0
Briefly ,213,378,77,25,0
describe ,295,378,88,25,0
the ,390,378,31,25,0
property ,426,378,92,25,0
to ,524,378,20,25,0
be ,551,378,24,25,0
"searched
",581,378,95,25,0
or ,218,402,23,28,0
identify ,247,402,77,27,0
the ,332,402,30,27,0
person ,367,402,72,27,0
by ,446,402,25,27,0
name ,478,402,56,27,0
and ,540,402,40,27,0
address,585,402,81,27,0
")
",664,402,10,27,0
Apple ,394,452,85,27,0
"Inc.
",485,452,41,27,0
1 ,117,485,8,27,0
Apple ,135,484,73,27,0
Park ,220,484,57,27,0
Way,285,484,57,27,0
", ",344,484,3,27,0
Cupertino,359,484,124,27,0
", ",485,484,4,27,0
CA. ,499,484,45,27,0
Host,557,484,57,27,0
: ,615,484,5,27,0
303-520-7458,630,484,177,27,0
",
",810,484,3,27,0
gwitherspoon24@gmail.com ,164,517,360,31,0
(,535,517,7,30,0
"""",544,517,7,30,0
Target ,553,517,82,30,0
Account,643,517,104,30,0
"""",749,517,8,30,0
")
",759,517,7,30,0
"SEALED
",1159,298,228,45,0
'23 ,1171,382,39,33,0
"MJ2081
",1233,382,112,32,0
Case ,1002,409,64,22,0
"No.
",1069,409,48,22,0
APPLICATION ,157,574,220,24,0
FOR ,386,574,65,24,0
A ,459,574,22,24,0
WARRANT ,490,574,165,24,0
BY ,665,574,43,24,0
TELEPHONE ,717,574,194,24,0
OR ,920,574,47,24,0
OTHER ,976,574,113,24,0
RELIABLE ,1097,574,162,24,0
ELECTRONIC ,1269,574,210,24,0
"MEANS
",1490,574,110,24,0
I,218,631,9,30,0
", ",228,630,4,30,0
a ,243,630,13,30,0
federal ,265,630,86,30,0
law ,361,630,44,30,0
enforcement ,414,630,157,30,0
officer ,580,630,83,30,0
or ,672,630,25,30,0
an ,706,630,29,30,0
attorney ,744,630,102,30,0
for ,855,630,37,30,0
the ,899,630,38,30,0
government,946,630,150,30,0
", ",1098,630,5,30,0
request ,1112,630,91,30,0
a ,1213,630,13,30,0
search ,1234,630,79,30,0
warrant ,1321,630,97,30,0
and ,1427,630,44,30,0
state ,1481,630,55,30,0
"under
",1545,630,72,30,0
penalty ,113,660,92,32,0
of ,215,660,28,31,0
perjury ,247,660,92,31,0
that ,347,660,48,31,0
I ,404,660,8,31,0
have ,421,660,59,31,0
reason ,489,660,83,31,0
to ,579,660,24,31,0
believe ,611,660,91,31,0
that ,710,660,48,31,0
on ,768,660,30,31,0
the ,804,660,39,31,0
following ,853,660,122,31,0
person ,984,660,84,31,0
or ,1077,660,25,31,0
property ,1110,660,106,31,0
(,1225,660,10,31,0
identify ,1234,660,77,31,0
the ,1320,660,30,31,0
person ,1355,660,71,31,0
or ,1435,660,23,31,0
describe ,1464,660,87,31,0
"the
",1558,660,31,31,0
property ,111,695,90,26,0
to ,209,695,19,25,0
be ,236,695,24,25,0
searched ,267,695,94,25,0
and ,368,695,38,25,0
give ,412,695,44,25,0
its ,463,695,23,25,0
location,494,695,84,25,0
),576,695,10,25,0
":
",588,695,6,25,0
See ,132,734,50,27,0
Attachment ,189,734,148,27,0
A,340,734,24,27,0
", ",364,734,4,27,0
incorporated ,379,734,157,27,0
herein ,547,734,78,27,0
by ,634,734,31,27,0
reference,674,734,120,27,0
".
",796,734,5,27,0
located ,114,803,90,23,0
in ,213,803,24,23,0
"the
",245,803,38,23,0
"Northern
",387,803,113,20,0
District ,599,804,101,21,0
"of
",709,804,28,21,0
"California
",889,804,124,20,0
there ,1189,803,63,28,0
is ,1261,803,19,28,0
now ,1290,803,53,28,0
concealed ,1352,803,124,28,0
(,1487,803,8,28,0
identify ,1494,803,78,28,0
"the
",1580,803,30,28,0
person ,112,844,72,25,0
or ,191,844,22,25,0
describe ,221,844,86,25,0
the ,315,844,30,25,0
property ,351,844,91,25,0
to ,449,844,19,25,0
be ,475,844,24,25,0
seized,506,844,65,25,0
),567,844,9,25,0
":
",580,844,3,25,0
See ,131,887,49,27,0
Attachment ,188,887,147,27,0
B,342,887,17,27,0
", ",363,887,5,27,0
incorporated ,379,887,156,27,0
herein ,545,887,79,27,0
by ,633,887,30,27,0
reference,673,887,120,27,0
".
",795,887,5,27,0
The ,218,980,46,29,0
basis ,274,980,61,29,0
for ,346,980,35,29,0
the ,390,980,37,29,0
search ,437,980,79,29,0
under ,525,980,72,29,0
Fed,605,980,47,29,0
. ,654,980,4,29,0
R. ,668,980,26,29,0
Crim,706,980,63,29,0
. ,771,980,4,29,0
P. ,785,980,23,29,0
41,818,980,29,29,0
(,849,980,11,29,0
c,861,980,13,29,0
) ,874,980,10,29,0
is ,893,980,21,29,0
(,923,980,10,29,0
check ,931,980,58,29,0
one ,997,980,37,29,0
or ,1041,980,23,29,0
more,1071,980,52,29,0
),1122,980,9,29,0
":
",1134,980,4,29,0
evidence ,324,1025,110,28,0
of ,444,1025,26,28,0
a ,478,1025,13,28,0
crime,500,1025,70,28,0
";
",571,1025,6,28,0
contraband,324,1072,138,29,0
", ",464,1072,5,29,0
fruits ,479,1072,65,29,0
of ,554,1072,27,29,0
crime,588,1072,71,29,0
", ",661,1072,5,29,0
or ,676,1072,26,29,0
other ,711,1072,63,29,0
items ,781,1072,67,29,0
illegally ,858,1072,104,29,0
possessed,970,1072,124,29,0
";
",1096,1072,5,29,0
property ,323,1120,105,31,0
designed ,438,1120,112,31,0
for ,559,1120,36,31,0
use,603,1120,41,31,0
", ",646,1120,5,31,0
intended ,661,1120,108,31,0
for ,778,1120,37,31,0
use,822,1120,42,31,0
", ",866,1120,5,31,0
or ,881,1120,26,31,0
used ,915,1120,58,31,0
in ,980,1120,25,31,0
committing ,1014,1120,144,31,0
a ,1168,1120,13,31,0
crime,1189,1120,70,31,0
";
",1262,1120,5,31,0
a ,324,1167,13,30,0
person ,345,1167,83,30,0
to ,436,1167,24,30,0
be ,468,1167,29,30,0
arrested ,508,1167,98,30,0
or ,616,1167,26,30,0
a ,650,1167,13,30,0
person ,671,1167,84,30,0
who ,762,1167,54,30,0
is ,826,1167,19,30,0
unlawfully ,855,1167,136,30,0
restrained,1000,1167,125,30,0
".
",1127,1167,3,30,0
The ,218,1226,46,27,0
search ,275,1226,78,26,0
is ,362,1226,20,26,0
related ,391,1226,86,26,0
to ,485,1226,24,26,0
a ,518,1226,13,26,0
violation ,539,1226,111,26,0
of,661,1226,28,26,0
":
",687,1226,5,26,0
Code ,251,1282,64,21,0
"Section
",324,1282,92,21,0
15 ,186,1312,31,28,0
USC ,228,1312,58,28,0
78,296,1312,29,28,0
(,328,1312,7,28,0
b,337,1312,14,28,0
) ,353,1312,7,28,0
& ,372,1312,17,28,0
"78ff
",398,1312,48,28,0
18 ,187,1348,30,20,0
USC ,226,1348,58,20,0
"371
",296,1348,42,20,0
Insider ,613,1314,87,27,0
"Trading
",707,1314,94,27,0
"Conspiracy
",607,1346,151,28,0
Offense ,996,1281,93,30,0
"Description
",1099,1281,148,30,0
The ,217,1430,47,29,0
application ,275,1430,140,29,0
is ,422,1430,20,29,0
based ,451,1430,71,29,0
on ,532,1430,30,29,0
these ,569,1430,66,29,0
facts,645,1430,58,29,0
":
",705,1430,4,29,0
See ,196,1473,50,29,0
Affidavit ,254,1473,104,29,0
of ,366,1473,23,29,0
FBI ,400,1473,40,29,0
Special ,451,1473,91,29,0
Agent ,551,1473,76,29,0
Leah ,637,1473,60,29,0
Chambers,708,1473,130,29,0
", ",841,1473,4,29,0
which ,856,1473,71,29,0
is ,938,1473,18,29,0
hereby ,967,1473,86,29,0
incorporated ,1062,1473,157,29,0
by ,1228,1473,31,29,0
reference ,1269,1473,118,29,0
and ,1397,1473,45,29,0
made ,1454,1473,68,29,0
"part
",1533,1473,47,29,0
hereof,193,1506,89,21,0
".
",277,1506,8,21,0
Continued ,270,1559,131,25,0
on ,411,1559,29,25,0
the ,448,1559,38,25,0
attached ,497,1559,102,25,0
sheet,609,1559,63,25,0
".
",676,1559,3,25,0
Delayed ,268,1607,106,29,0
notice ,384,1607,75,29,0
"of
",469,1607,28,29,0
days ,598,1608,57,29,0
(,665,1608,9,29,0
give ,672,1608,43,29,0
exact ,723,1608,55,29,0
ending ,783,1608,71,29,0
date ,860,1608,45,29,0
if ,911,1608,19,29,0
more ,932,1608,53,29,0
than ,992,1608,46,29,0
30 ,1045,1608,26,29,0
days,1077,1608,48,29,0
":
",1126,1608,5,29,0
18 ,272,1644,26,30,0
U.S.C. ,309,1644,82,30,0
§ ,404,1644,9,30,0
3103a,425,1644,78,30,0
", ",504,1644,5,30,0
the ,519,1644,38,30,0
basis ,564,1644,64,30,0
of ,638,1644,27,30,0
which ,671,1644,76,30,0
is ,755,1644,22,30,0
set ,786,1644,34,30,0
forth ,829,1644,60,30,0
on ,899,1644,30,30,0
the ,936,1644,39,30,0
attached ,984,1644,104,30,0
sheet,1098,1644,64,30,0
".
",1163,1644,4,30,0
) ,1360,1608,9,29,0
is ,1378,1607,20,29,0
requested ,1407,1607,120,29,0
"under
",1536,1607,73,29,0
"Hefron
",1306,1690,162,67,0
Applicant's ,1153,1746,118,28,0
"signature
",1286,1746,103,28,0
Jessica ,1051,1802,95,27,0
Hefron,1155,1802,84,27,0
", ",1243,1802,4,27,0
FBI ,1260,1802,39,27,0
Special ,1309,1802,93,27,0
"Agent
",1411,1802,75,27,0
Printed ,1152,1841,78,20,0
name ,1236,1841,56,19,0
and ,1299,1841,39,19,0
"title
",1344,1841,41,19,0
Attested ,112,1897,106,32,0
to ,226,1897,23,31,0
