text,left_pixels,top_pixels,width_pixels,height_pixels,page
Case ,259,35,92,36,0
3,350,35,21,36,0
:,372,35,7,36,0
23,378,35,41,36,0
-,411,35,17,36,0
mj,428,35,34,36,0
-,456,35,20,36,0
02081,476,35,96,36,0
-,573,35,9,36,0
WVG ,583,35,79,36,0
Document ,692,35,158,36,0
1 ,859,35,21,36,0
Filed ,907,35,74,36,0
06/08/23 ,988,35,135,36,0
PageID.1 ,1151,35,143,36,0
Page ,1322,35,79,36,0
1 ,1412,35,20,36,0
of ,1441,35,29,36,0
"27
",1476,35,40,36,0
ΛΟ ,128,68,34,24,0
106Α ,169,68,49,24,0
(,229,68,6,24,0
08/18,237,68,52,24,0
) ,291,68,6,24,0
Application ,307,68,108,24,0
for ,423,68,26,24,0
a ,453,68,12,24,0
Warrant ,469,68,75,24,0
by ,550,68,23,24,0
Telephone ,578,68,96,24,0
or ,681,68,18,24,0
Other ,703,68,53,24,0
Reliable ,764,68,75,24,0
Electronic ,842,68,96,24,0
"Means
",941,68,64,24,0
UNITED ,508,134,175,43,0
STATES ,699,134,169,42,0
DISTRICT ,880,134,215,42,0
"COURT
",1108,134,159,42,0
In ,272,332,26,27,0
the ,302,332,41,26,0
Matter ,349,332,86,26,0
of ,443,332,29,26,0
the ,476,332,38,26,0
Search ,522,332,85,26,0
"of
",617,332,29,26,0
(,220,374,22,28,0
Briefly ,230,374,78,28,0
describe ,308,374,93,28,0
the ,403,374,34,28,0
property ,442,374,90,28,0
to ,538,374,22,28,0
be ,563,374,26,28,0
"searched
",594,374,98,28,0
or ,230,397,27,29,0
identify ,261,397,79,28,0
the ,345,397,34,28,0
person ,380,397,76,28,0
by ,460,397,26,28,0
name ,490,397,57,28,0
and ,551,397,43,28,0
address,597,397,81,28,0
")
",676,397,10,28,0
Apple ,408,446,95,30,0
"Inc.
",491,446,49,29,0
for ,849,207,37,24,0
"the
",887,207,45,24,0
Southern ,689,252,112,27,0
District ,810,252,95,26,0
of ,912,252,31,26,0
"California
",946,252,128,26,0
1 ,126,479,17,31,0
Apple ,147,479,88,31,0
Park ,235,479,59,31,0
Way,300,479,59,31,0
", ",356,479,7,31,0
Cupertino,372,479,126,31,0
", ",498,479,5,31,0
CA. ,512,479,48,31,0
Host,568,479,61,31,0
: ,621,479,10,31,0
303-520-7458,640,479,182,31,0
",
",812,479,18,31,0
gwitherspoon24@gmail.com ,176,511,362,32,0
(,547,511,8,32,0
"""",556,511,10,32,0
Target ,566,511,82,32,0
Account,652,511,109,32,0
"""",760,511,8,32,0
")
",771,511,8,32,0
"SEALED
",1166,294,229,45,0
")
",889,350,20,27,0
'23 ,1172,380,48,31,0
"MJ2081
",1239,380,115,30,0
Case ,1011,404,65,24,0
"No.
",1079,404,49,23,0
")
",889,439,21,25,0
")
",888,471,23,27,0
"(
",890,501,19,26,0
APPLICATION ,172,569,218,25,0
FOR ,401,569,65,25,0
A ,473,569,22,25,0
WARRANT ,503,569,164,25,0
BY ,679,569,39,25,0
TELEPHONE ,728,569,194,25,0
OR ,933,569,44,25,0
OTHER ,987,569,112,25,0
RELIABLE ,1108,569,159,25,0
ELECTRONIC ,1279,569,206,25,0
"MEANS
",1494,569,110,25,0
1,232,625,10,32,0
", ",241,625,8,32,0
a ,257,625,16,32,0
federal ,280,625,85,32,0
law ,377,625,44,32,0
enforcement ,428,625,156,32,0
officer ,592,625,84,32,0
or ,684,625,25,32,0
an ,718,625,29,32,0
attorney ,755,625,103,32,0
for ,866,625,38,32,0
the ,910,625,38,32,0
government,957,625,149,32,0
", ",1108,625,5,32,0
request ,1124,625,88,32,0
a ,1221,625,14,32,0
search ,1242,625,79,32,0
warrant ,1331,625,94,32,0
and ,1434,625,45,32,0
state ,1485,625,58,32,0
"under
",1550,625,73,32,0
penalty ,126,656,96,33,0
of ,228,656,31,33,0
perjury ,263,656,91,33,0
that ,362,656,48,33,0
I ,418,656,8,33,0
have ,435,656,59,33,0
reason ,502,656,83,33,0
to ,591,656,26,33,0
believe ,623,656,93,33,0
that ,723,656,48,33,0
on ,779,656,31,33,0
the ,817,656,39,33,0
following ,863,656,125,33,0
person ,995,656,83,33,0
or ,1086,656,27,33,0
property ,1120,656,108,33,0
(,1235,656,9,33,0
identify ,1244,656,77,33,0
the ,1328,656,31,33,0
person ,1365,656,71,33,0
or ,1443,656,20,33,0
describe ,1470,656,89,33,0
"the
",1564,656,31,33,0
property ,121,689,98,27,0
to ,222,689,23,26,0
be ,248,689,28,26,0
searched ,280,689,98,26,0
and ,382,689,41,26,0
give ,425,689,45,26,0
its ,476,689,25,26,0
location,507,689,85,26,0
),589,689,12,26,0
":
",592,689,18,26,0
See ,145,726,52,31,0
Attachment ,200,726,151,30,0
A,353,726,28,30,0
", ",377,726,5,30,0
incorporated ,392,726,157,30,0
herein ,558,726,78,30,0
by ,645,726,31,30,0
reference,683,726,123,30,0
".
",803,726,13,30,0
located ,129,796,90,25,0
in ,228,796,23,24,0
"the
",257,796,41,24,0
"Northern
",399,798,120,21,0
person ,123,838,78,27,0
or ,205,838,24,27,0
describe ,232,838,91,27,0
the ,328,838,32,27,0
property ,365,838,92,27,0
to ,462,838,22,27,0
be ,487,838,26,27,0
seized,517,838,68,27,0
),579,838,11,27,0
":
",591,838,9,27,0
District ,613,797,97,24,0
"of
",718,797,31,23,0
"California
",899,799,125,20,0
there ,1196,798,65,30,0
is ,1269,798,19,30,0
now ,1296,798,55,30,0
concealed ,1358,798,125,30,0
(,1493,798,9,30,0
identify ,1499,798,76,30,0
"the
",1583,798,32,30,0
See ,144,878,51,31,0
Attachment ,200,878,150,30,0
B,355,878,21,30,0
", ",376,878,6,30,0
incorporated ,389,878,161,30,0
herein ,557,878,78,30,0
by ,644,878,31,30,0
reference,682,878,123,30,0
".
",800,878,16,30,0
The ,229,974,52,31,0
basis ,286,974,67,31,0
for ,359,974,37,31,0
the ,403,974,39,31,0
search ,450,974,80,31,0
under ,539,974,70,31,0
Fed,618,974,47,31,0
. ,666,974,5,31,0
R. ,680,974,28,31,0
Crim,716,974,64,31,0
. ,783,974,5,31,0
P. ,797,974,24,31,0
41,828,974,28,31,0
(,861,974,12,31,0
c,872,974,15,31,0
) ,885,974,10,31,0
is ,905,974,21,31,0
(,933,974,10,31,0
check ,941,974,61,31,0
one ,1009,974,34,31,0
or ,1051,974,23,31,0
more,1079,974,54,31,0
),1131,974,12,31,0
":
",1143,974,7,31,0
evidence ,335,1019,113,27,0
of ,455,1019,31,27,0
