text,left_pixels,top_pixels,width_pixels,height_pixels,page
Case ,337,75,92,38,0
1,430,75,22,37,0
:,449,75,7,37,0
24,458,75,40,37,0
-,492,75,15,37,0
mj,507,75,35,37,0
-,539,75,16,37,0
00012,551,75,102,37,0
-,651,75,9,37,0
TJC ,662,75,64,37,0
Document ,775,75,157,37,0
3 ,940,75,22,37,0
Filed ,1008,75,74,37,0
02/09/24 ,1090,75,136,37,0
Page ,1273,75,79,37,0
1 ,1364,75,20,37,0
of ,1392,75,29,37,0
"2
",1430,75,21,37,0
AO ,102,158,35,24,0
93 ,140,158,23,23,0
(,172,158,10,23,0
Rev. ,182,158,40,23,0
11/13,230,158,48,23,0
) ,280,158,7,23,0
Search ,292,158,60,23,0
and ,356,157,34,23,0
Seizure ,394,157,67,23,0
"Warrant
",463,157,76,23,0
UNITED ,524,239,172,43,0
STATES ,709,239,162,42,0
DISTRICT ,882,238,210,43,0
"COURT
",1105,238,156,42,0
In ,285,434,23,26,0
the ,311,434,43,25,0
Matter ,358,434,83,25,0
of ,449,434,28,25,0
the ,480,434,38,25,0
Search ,526,434,84,25,0
"of
",616,434,32,25,0
for ,849,309,41,23,0
"the
",888,309,44,23,0
District ,765,357,92,24,0
of ,865,357,28,23,0
"Montana
",896,357,113,23,0
")
",880,436,13,27,0
(,233,476,22,27,0
Briefly ,241,475,75,27,0
describe ,317,474,89,28,0
the ,409,474,33,27,0
property ,445,473,90,28,0
to ,539,474,23,27,0
be ,564,473,27,28,0
"searched
",595,472,95,28,0
or ,242,505,28,27,0
identify ,275,505,76,26,0
the ,353,505,38,26,0
person ,389,504,71,27,0
by ,464,504,26,26,0
name ,494,504,55,26,0
and ,553,504,43,26,0
address,596,503,83,27,0
")
",672,503,15,26,0
")
",877,472,17,27,0
")
",876,507,19,26,0
Case ,948,487,63,49,0
No. ,1016,486,49,48,0
MJ,1077,484,91,49,0
-,1168,484,15,47,0
24-12,1191,480,155,51,0
-,1349,480,17,47,0
BLG,1365,478,104,49,0
-,1477,477,38,48,0
"TJC
",1476,475,112,50,0
INFORMATION ,165,536,190,26,0
ASSOCAITED ,363,535,177,26,0
WITH ,547,536,72,24,0
ΙΜΕΙ ,628,535,55,25,0
3529 ,691,535,62,24,0
"1110
",761,535,59,24,0
")
",874,543,23,26,0
0163 ,296,567,67,24,0
AND ,370,567,58,23,0
EMAIL ,438,567,81,23,0
"ACCOUNTS
",527,565,156,25,0
")
",873,576,24,27,0
FUN1JJ1978@GMAIL.COM ,288,596,344,30,0
"AND
",640,596,60,28,0
")
",877,609,15,27,0
"NSALYER@GMAIL.COM
",337,627,315,25,0
SEARCH ,592,667,147,29,0
AND ,749,667,74,28,0
SEIZURE ,834,666,156,29,0
"WARRANT
",1000,665,189,29,0
To,96,732,41,22,0
":
",129,732,16,22,0
Any ,198,728,55,32,0
authorized ,260,727,130,33,0
law ,397,727,43,31,0
enforcement ,446,726,152,32,0
"officer
",605,725,84,32,0
An ,199,778,41,34,0
application ,244,777,136,34,0
by ,387,778,31,33,0
a ,424,778,17,33,0
federal ,446,777,85,34,0
law ,539,777,45,33,0
enforcement ,589,776,153,34,0
officer ,748,776,80,33,0
or ,836,776,25,33,0
an ,868,776,30,33,0
attorney ,904,776,102,33,0
for ,1014,775,36,33,0
the ,1058,775,36,33,0
government ,1102,774,145,35,0
requests ,1256,774,99,33,0
the ,1362,774,38,33,0
"search
",1408,774,75,33,0
"Northern
",826,809,113,23,0
